/* ************************************************************************** */
/*                                                                            */
/*                                                        :::      ::::::::   */
/*   ps_hardcoded_bos_6.c                               :+:      :+:    :+:   */
/*                                                    +:+ +:+         +:+     */
/*   By: push_swap/bake.ts <powered-by@node.js>     +#+  +:+       +#+        */
/*                                                +#+#+#+#+#+   +#+           */
/*   Created: Automatically                            #+#    #+#             */
/*   Updated: Never                                   ###   ########.fr       */
/*                                                                            */
/* ************************************************************************** */

#include <stddef.h>

static const size_t	g_ps_hardcoded_bos_6_distance = 14;
static const char	*g_ps_hardcoded_bos_6[] = {
	"\11\11\2\2\13\2\11\2\11\2\11\2",
	"\11\11\11\2\2\2\13\2\11\2\11\2",
	"\11\2\11\2\13\2\13\2\11\2\11\2",
	"\11\11\2\2\13\2\13\2\11\2\11\2",
	"\11\11\2\11\2\2\13\2\11\2\11\2",
	"\11\11\11\11\2\2\2\2\13\2\11\2",
	"\11\11\2\11\2\2\13\2\13\2\11\2",
	"\11\2\11\11\2\2\13\2\13\2\11\2",
	"\11\11\11\2\2\2\13\2\13\2\11\2",
	"\11\11\2\2\13\2\11\2\13\2\11\2",
	"\11\11\2\2\13\2\13\2\13\2\11\2",
	"\11\2\11\2\13\2\13\2\13\2\11\2",
	"\11\2\11\11\2\13\2\2\13\2\11\2",
	"\11\11\2\11\2\13\2\2\13\2\11\2",
	"\11\11\2\2\13\13\2\2\13\2\11\2",
	"\11\2\11\2\13\13\2\2\13\2\11\2",
	"\11\11\11\2\2\13\2\2\13\2\11\2",
	"\11\2\11\11\2\11\2\2\13\2\11\2",
	"\11\11\2\11\2\2\13\13\2\11\2\2\7",
	"\11\11\11\2\11\2\2\2\13\2\11\2",
	"\11\11\11\2\2\2\13\13\2\11\2\2\7",
	"\11\11\2\2\13\2\11\13\2\11\2\2\7",
	"\11\11\2\11\11\2\2\2\13\2\11\2",
	"\11\11\11\11\11\2\2\2\2\2\13\2",
	"\11\11\2\11\2\2\13\13\2\2\11\2",
	"\11\11\11\2\11\2\2\2\13\2\13\2",
	"\11\11\11\2\2\2\13\13\2\2\11\2",
	"\11\11\2\2\13\2\11\13\2\2\11\2",
	"\11\11\2\11\11\2\2\2\13\2\13\2",
	"\11\2\11\11\11\2\2\2\13\2\13\2",
	"\11\11\2\11\2\2\13\2\11\2\13\2",
	"\11\11\11\11\2\2\2\2\13\2\13\2",
	"\11\11\11\2\2\2\13\2\11\2\13\2",
	"\11\11\2\2\13\2\11\2\11\2\13\2",
	"\11\11\2\2\13\2\13\2\11\2\13\2",
	"\11\2\11\2\13\2\13\2\11\2\13\2",
	"\11\11\2\2\13\2\13\2\13\2\13\2",
	"\11\2\11\2\13\2\13\2\13\2\13\2",
	"\11\2\11\11\2\2\13\2\13\2\13\2",
	"\11\11\2\11\2\2\13\2\13\2\13\2",
	"\11\11\2\2\13\2\11\2\13\2\13\2",
	"\11\11\11\2\2\2\13\2\13\2\13\2",
	"\11\11\11\2\2\13\2\2\13\2\13\2",
	"\11\2\11\11\2\11\2\2\13\2\13\2",
	"\11\11\2\11\2\13\2\2\13\2\13\2",
	"\11\2\11\11\2\13\2\2\13\2\13\2",
	"\11\2\11\2\13\13\2\2\13\2\13\2",
	"\11\11\2\2\13\13\2\2\13\2\13\2",
	"\11\11\2\11\11\2\13\2\2\13\2\2\7",
	"\11\2\11\11\11\2\13\2\2\13\2\2\7",
	"\11\11\11\2\11\2\13\2\2\13\2\2\7",
	"\11\11\11\2\11\2\2\13\2\2\13\2",
	"\11\2\11\11\11\2\2\13\2\2\13\2",
	"\11\11\2\11\11\2\2\13\2\2\13\2",
	"\11\11\2\2\13\2\13\13\2\2\13\2",
	"\11\2\11\2\13\2\13\13\2\2\13\2",
	"\11\2\11\11\2\2\13\13\2\2\13\2",
	"\11\11\2\11\2\2\13\13\2\2\13\2",
	"\11\11\2\2\13\2\11\13\2\2\13\2",
	"\11\11\11\2\2\2\13\13\2\2\13\2",
	"\11\2\11\11\2\13\2\11\2\2\13\2",
	"\11\11\11\11\2\2\2\13\2\2\13\2",
	"\11\11\2\2\13\13\2\11\2\2\13\2",
	"\11\2\11\2\13\13\2\11\2\2\13\2",
	"\11\11\11\2\2\13\2\11\2\2\13\2",
	"\11\2\11\11\2\11\2\11\2\2\13\2",
	"\11\2\11\11\2\11\2\13\2\2\13\2",
	"\11\11\11\2\2\13\2\13\2\2\13\2",
	"\11\2\11\2\13\13\2\13\2\2\13\2",
	"\11\11\2\2\13\13\2\13\2\2\13\2",
	"\11\11\2\11\2\13\2\13\2\2\13\2",
	"\11\2\11\11\2\13\2\13\2\2\13\2",
	"\11\2\11\11\2\11\2\13\2\2\12\13\2",
	"\11\11\11\2\2\13\2\13\2\2\12\13\2",
	"\11\2\11\11\11\2\13\2\2\2\13\2",
	"\11\11\2\11\11\2\13\2\2\2\13\2",
	"\11\11\2\11\2\13\2\13\2\2\12\13\2",
	"\11\11\11\2\11\2\13\2\2\2\13\2",
	"\11\2\11\11\11\2\2\13\2\2\12\13\2",
	"\11\11\2\11\11\2\2\13\2\2\12\13\2",
	"\11\2\11\11\11\2\13\2\2\13\2\2\4",
	"\11\11\2\11\11\2\13\2\2\13\2\2\4",
	"\11\11\11\2\11\2\2\13\2\2\12\13\2",
	"\11\11\11\2\11\2\13\2\2\13\2\2\4",
	"\11\2\11\11\2\11\13\2\2\2\13\2",
	"\11\11\11\2\2\13\13\2\2\2\13\2",
	"\11\2\11\2\13\13\13\2\2\2\13\2",
	"\11\11\2\2\13\13\13\2\2\2\13\2",
	"\11\11\2\11\2\13\13\2\2\2\13\2",
	"\11\2\11\11\2\13\13\2\2\2\13\2",
	"\11\11\11\2\2\13\2\11\2\2\12\13\2",
	"\11\11\11\11\2\2\13\2\2\2\13\2",
	"\11\11\11\11\2\2\2\13\2\2\12\13\2",
	"\11\11\11\11\2\2\13\2\2\13\2\2\4",
	"\11\11\2\11\11\2\11\2\2\2\13\2",
	"\11\2\11\11\11\2\11\2\2\2\13\2",
	"\11\11\2\2\13\2\11\2\11\11\2\2\7",
	"\11\11\11\2\11\2\2\2\13\13\2\2\7",
	"\11\2\11\2\13\2\13\2\11\11\2\2\7",
	"\11\11\2\2\13\2\13\2\11\11\2\2\7",
	"\11\11\2\11\11\2\2\2\13\13\2\2\7",
	"\11\11\11\11\2\11\2\2\2\2\13\2",
	"\11\11\2\11\2\2\13\2\11\13\2\2\7",
	"\11\11\11\11\2\2\2\2\13\13\2\2\7",
	"\11\11\11\2\2\2\13\2\11\13\2\2\7",
	"\11\11\2\2\13\2\11\2\11\13\2\2\7",
	"\11\11\2\2\13\2\13\2\11\13\2\2\7",
	"\11\2\11\2\13\2\13\2\11\13\2\2\7",
	"\11\11\2\2\13\2\13\2\13\13\2\2\7",
	"\11\2\11\2\13\2\13\2\13\13\2\2\7",
	"\11\2\11\11\2\2\13\2\13\13\2\2\7",
	"\11\11\2\11\2\2\13\2\13\13\2\2\7",
	"\11\11\2\2\13\2\11\2\13\13\2\2\7",
	"\11\11\11\2\2\2\13\2\13\13\2\2\7",
	"\11\11\11\2\2\13\2\2\13\13\2\2\7",
	"\11\11\11\2\11\11\2\2\2\2\13\2",
	"\11\11\2\11\2\13\2\2\13\13\2\2\7",
	"\11\2\11\11\2\13\2\2\13\13\2\2\7",
	"\11\11\2\11\11\11\2\2\2\2\13\2",
	"\11\2\11\11\11\11\2\2\2\2\13\2",
	"\11\11\2\2\13\2\11\2\11\11\2\2",
	"\11\11\11\2\11\2\2\2\13\13\2\2",
	"\11\2\11\2\13\2\13\2\11\11\2\2",
	"\11\11\2\2\13\2\13\2\11\11\2\2",
	"\11\11\2\11\11\2\2\2\13\13\2\2",
	"\11\2\11\11\11\2\2\2\13\13\2\2",
	"\11\11\2\11\2\2\13\2\11\13\2\2",
	"\11\11\11\11\2\2\2\2\13\13\2\2",
	"\11\11\11\2\2\2\13\2\11\13\2\2",
	"\11\11\2\2\13\2\11\2\11\13\2\2",
	"\11\11\2\2\13\2\13\2\11\13\2\2",
	"\11\2\11\2\13\2\13\2\11\13\2\2",
	"\11\11\2\2\13\2\13\2\13\13\2\2",
	"\11\2\11\2\13\2\13\2\13\13\2\2",
	"\11\2\11\11\2\2\13\2\13\13\2\2",
	"\11\11\2\11\2\2\13\2\13\13\2\2",
	"\11\11\2\2\13\2\11\2\13\13\2\2",
	"\11\11\11\2\2\2\13\2\13\13\2\2",
	"\11\11\11\2\2\13\2\2\13\13\2\2",
	"\11\2\11\11\2\11\2\2\13\13\2\2",
	"\11\11\2\11\2\13\2\2\13\13\2\2",
	"\11\2\11\11\2\13\2\2\13\13\2\2",
	"\11\2\11\2\13\13\2\2\13\13\2\2",
	"\11\11\2\2\13\13\2\2\13\13\2\2",
	"\11\11\2\11\2\2\13\13\2\11\2\2",
	"\11\2\11\11\2\2\13\13\2\11\2\2",
	"\11\11\11\2\2\2\13\13\2\11\2\2",
	"\11\11\2\2\13\2\11\13\2\11\2\2",
	"\11\11\2\2\13\2\13\13\2\11\2\2",
	"\11\2\11\2\13\2\13\13\2\11\2\2",
	"\11\2\11\2\13\13\2\11\2\11\2\2",
	"\11\11\2\2\13\13\2\11\2\11\2\2",
	"\11\2\11\11\2\11\2\11\2\11\2\2",
	"\11\11\11\2\2\13\2\11\2\11\2\2",
	"\11\2\11\11\2\13\2\11\2\11\2\2",
	"\11\11\11\11\2\2\2\13\2\11\2\2",
	"\11\11\2\2\13\13\2\13\2\11\2\2",
	"\11\2\11\2\13\13\2\13\2\11\2\2",
	"\11\2\11\11\2\13\2\13\2\11\2\2",
	"\11\11\2\11\2\13\2\13\2\11\2\2",
	"\11\2\11\11\2\11\2\13\2\11\2\2",
	"\11\11\11\2\2\13\2\13\2\11\2\2",
	"\11\11\11\2\2\13\2\2\13\2\11\2\12",
	"\11\2\11\11\2\11\2\2\13\2\11\2\12",
	"\11\11\2\11\2\13\2\2\13\2\11\2\12",
	"\11\11\11\2\11\2\2\13\2\11\2\2",
	"\11\2\11\11\11\2\2\13\2\11\2\2",
	"\11\11\11\11\11\2\2\2\2\13\2\2",
	"\11\11\2\2\13\2\13\13\2\13\2\2",
	"\11\2\11\2\13\2\13\13\2\13\2\2",
	"\11\2\11\11\2\2\13\13\2\13\2\2",
	"\11\11\2\11\2\2\13\13\2\13\2\2",
	"\11\11\2\2\13\2\11\13\2\13\2\2",
	"\11\11\11\2\2\2\13\13\2\13\2\2",
	"\11\11\2\2\13\13\13\2\2\11\2\2",
	"\11\2\11\2\13\13\13\2\2\11\2\2",
	"\11\2\11\11\2\13\13\2\2\11\2\2",
	"\11\11\11\2\11\2\2\13\2\13\2\2",
	"\11\2\11\11\11\2\2\13\2\13\2\2",
	"\11\11\2\11\11\2\2\13\2\13\2\2",
	"\11\11\2\2\13\13\2\11\2\13\2\2",
	"\11\2\11\2\13\13\2\11\2\13\2\2",
	"\11\2\11\11\2\13\2\11\2\13\2\2",
	"\11\11\11\11\2\2\2\13\2\13\2\2",
	"\11\2\11\11\2\11\2\11\2\13\2\2",
	"\11\11\11\2\2\13\2\11\2\13\2\2",
	"\11\2\11\2\13\13\2\13\2\13\2\2",
	"\11\11\2\2\13\13\2\13\2\13\2\2",
	"\11\2\11\11\2\11\2\13\2\13\2\2",
	"\11\11\11\2\2\13\2\13\2\13\2\2",
	"\11\2\11\11\2\13\2\13\2\13\2\2",
	"\11\11\2\11\2\13\2\13\2\13\2\2",
	"\11\2\11\11\2\11\2\13\2\2\13\2\12",
	"\11\11\11\2\2\13\2\13\2\2\13\2\12",
	"\11\2\11\2\13\13\2\13\2\2\13\2\12",
	"\11\11\2\2\13\13\2\13\2\2\13\2\12",
	"\11\11\2\11\2\13\2\13\2\2\13\2\12",
	"\11\2\11\11\2\13\2\13\2\2\13\2\12",
	"\11\2\11\11\11\2\2\13\2\2\13\2\12",
	"\11\11\2\11\11\2\2\13\2\2\13\2\12",
	"\11\2\11\11\11\2\13\2\2\13\2\2",
	"\11\11\2\11\11\2\13\2\2\13\2\2",
	"\11\11\11\2\11\2\2\13\2\2\13\2\12",
	"\11\11\11\2\11\2\13\2\2\13\2\2",
	"\11\2\11\2\13\13\13\2\2\13\2\2",
	"\11\11\2\2\13\13\13\2\2\13\2\2",
	"\11\2\11\11\2\11\13\2\2\13\2\2",
	"\11\11\11\2\2\13\13\2\2\13\2\2",
	"\11\2\11\11\2\13\13\2\2\13\2\2",
	"\11\11\2\11\2\13\13\2\2\13\2\2",
	"\11\11\11\2\2\13\2\11\2\2\13\2\12",
	"\11\2\11\11\2\11\2\11\2\2\13\2\12",
	"\11\11\11\11\2\2\2\13\2\2\13\2\12",
	"\11\11\11\11\2\2\13\2\2\13\2\2",
	"\11\2\11\11\11\2\11\2\2\13\2\2",
	"\11\11\2\11\11\2\11\2\2\13\2\2",
	"\11\11\2\2\13\2\13\13\13\2\2\7\2",
	"\11\11\11\11\2\2\13\2\2\2\13\2\12",
	"\11\2\11\11\2\2\13\13\13\2\2\7\2",
	"\11\11\2\11\2\2\13\13\13\2\2\7\2",
	"\11\11\2\11\11\2\11\2\2\2\13\2\12",
	"\11\2\11\11\11\2\11\2\2\2\13\2\12",
	"\11\2\11\2\13\13\2\11\11\2\2\7\2",
	"\11\11\11\2\11\2\13\2\2\2\13\2\12",
	"\11\2\11\11\2\11\2\11\11\2\2\7\2",
	"\11\11\11\2\11\2\2\13\13\2\2\7\2",
	"\11\11\2\11\11\2\13\2\2\2\13\2\12",
	"\11\11\11\11\2\11\2\2\2\13\2\2",
	"\11\11\2\2\13\13\2\11\13\2\2\7\2",
	"\11\2\11\2\13\13\2\11\13\2\2\7\2",
	"\11\2\11\11\2\13\2\11\13\2\2\7\2",
	"\11\11\11\11\2\2\2\13\13\2\2\7\2",
	"\11\2\11\11\2\11\2\11\13\2\2\7\2",
